id,name,lastname,email,document,birthday,phone,nameCuidador,documentCuidador,namePatient,documentPatient,entity,profession,password,role,email_verified_at,remember_token,created_at,updated_at
1,Daniela,Niño,daniela.nino@gmail.com,1000273652,2022-01-1,3043509834,'',0,'',0,'',Doctor,admin1234,doctor,,,,
2,Samuel,Ceballos,samuel.ceballos@gmail.com,1006972637,2022-01-1,3058722167,'',0,'',0,'',Doctor,admin1234,doctor,,,,
3,Juan Pablo,Madrid,juan.madrid@gmail.com,1000876234,1940-04-3,3104562537,Esteban,1001298765,'',0,'','',admin1234,patient,,,,
4,Mariana,Valencia,mariana.valencia@gmail.com,1000022831,1945-10-10,3104639173,Mariana,1001264872,'',0,'','',admin1234,patient,,,,
5,Alejandro,Torres,alejandro.torres@gmail.com,1000254102,1945-12-12,3145261452,Sebastian,1001234875,'',0,'','',admin1234,patient,,,,
6,Martin,Villegas,martin.villegas@gmail.com,1005248716,1943-12-8,3145782465,Julian,1011182346,'',0,'','',admin1234,patient,,,,
7,Esteban,Ruiz,estaban.ruiz@gmail.com,1001298765,2022-01-1,3128762453,'',0,Juan Pablo,1000876234,'','',admin1234,cuidador,,,,
8,Mariana,Vergara,mariana.vergara@gmail.com,1001264872,2022-01-1,3129735475,'',0,Mariana,1000022831,'','',admin1234,cuidador,,,,
9,Sebastian,Peña,sebastian.pena@gmail.com,1001234875,2022-01-1,3113847596,'',0,Alejandro,1000254102,'','',admin1234,cuidador,,,,
10,Julian,Rodriguez,julian.rodriguez@gmail.com,1011182346,2022-01-1,3114958642,'',0,Martin,1005248716,'','',admin1234,cuidador,,,,
